id,kategori,sub_kategori,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunci
239,Kompetensi Sosial Kultural,Empati,(Desa 3) Warga menyampaikan keluhan keras terkait keterlambatan layanan pengawasan pekerjaan. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,B
240,Kompetensi Sosial Kultural,Toleransi,(Desa 4) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Menutup forum agar tak memicu konflik,Mengabaikan pandangan minoritas,Memfasilitasi dialog yang adil dan menghargai perbedaan,Mendukung pihak yang sepaham,C
241,Kompetensi Sosial Kultural,Empati,(Kelurahan A) Warga menyampaikan keluhan keras terkait keterlambatan layanan verifikasi SIMBG. Sikap Anda yang paling tepat adalah ....,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,Meminta warga tenang sebelum mendengar,A
242,Kompetensi Sosial Kultural,Empati,(Kelurahan B) Warga menyampaikan keluhan keras terkait keterlambatan layanan site plan perumahan. Sikap Anda yang paling tepat adalah ....,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,Mengakhiri percakapan agar tidak memakan waktu,A
243,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan C) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,Menghindari interaksi langsung,Mengandalkan pihak lain yang paham budaya lokal,A
244,Kompetensi Sosial Kultural,Empati,(Kecamatan X) Warga menyampaikan keluhan keras terkait keterlambatan layanan pengawasan pekerjaan. Sikap Anda yang paling tepat adalah ....,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga membuat surat resmi terlebih dahulu,Meminta warga tenang sebelum mendengar,Mengakhiri percakapan agar tidak memakan waktu,A
245,Kompetensi Sosial Kultural,Toleransi,(Kecamatan Y) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Memfasilitasi dialog yang adil dan menghargai perbedaan,Mengabaikan pandangan minoritas,Mendukung pihak yang sepaham,Menutup forum agar tak memicu konflik,A
246,Kompetensi Sosial Kultural,Komunikasi Publik,(Kecamatan Z) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menunjuk pihak lain menyampaikan,Menggunakan istilah teknis lengkap,Membagikan dokumen tanpa penjelasan,A
247,Kompetensi Sosial Kultural,Empati,(Desa 1) Warga menyampaikan keluhan keras terkait keterlambatan layanan site plan perumahan. Sikap Anda yang paling tepat adalah ....,Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Mengakhiri percakapan agar tidak memakan waktu,C
248,Kompetensi Sosial Kultural,Komunikasi Publik,(Desa 2) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menunjuk pihak lain menyampaikan,Menggunakan istilah teknis lengkap,Membagikan dokumen tanpa penjelasan,A
249,Kompetensi Sosial Kultural,Empati,(Desa 3) Warga menyampaikan keluhan keras terkait keterlambatan layanan pengawasan pekerjaan. Sikap Anda yang paling tepat adalah ....,Meminta warga tenang sebelum mendengar,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,B
250,Kompetensi Sosial Kultural,Empati,(Desa 4) Warga menyampaikan keluhan keras terkait keterlambatan layanan uji material. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,B
251,Kompetensi Sosial Kultural,Pelayanan Publik,(Kelurahan A) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Menutup layanan lebih awal,Mengurangi waktu konsultasi per orang tanpa standar,Melayani yang paling vokal terlebih dahulu,Nomor antrian terjadwal dan ringkasan informasi,D
252,Kompetensi Sosial Kultural,Komunikasi Publik,(Kelurahan B) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Menggunakan istilah teknis lengkap,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Membagikan dokumen tanpa penjelasan,Menunjuk pihak lain menyampaikan,B
253,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan C) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menerapkan prosedur tanpa penyesuaian,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menghindari interaksi langsung,Mengandalkan pihak lain yang paham budaya lokal,B
254,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kecamatan X) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menghindari interaksi langsung,Mengandalkan pihak lain yang paham budaya lokal,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,C
255,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kecamatan Y) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mengandalkan pihak lain yang paham budaya lokal,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,Menghindari interaksi langsung,B
256,Kompetensi Sosial Kultural,Komunikasi Publik,(Kecamatan Z) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Menggunakan istilah teknis lengkap,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Membagikan dokumen tanpa penjelasan,Menunjuk pihak lain menyampaikan,B
257,Kompetensi Sosial Kultural,Komunikasi Publik,(Desa 1) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Membagikan dokumen tanpa penjelasan,Menunjuk pihak lain menyampaikan,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menggunakan istilah teknis lengkap,C
258,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 2) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mengandalkan pihak lain yang paham budaya lokal,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menghindari interaksi langsung,Menerapkan prosedur tanpa penyesuaian,B
259,Kompetensi Sosial Kultural,Pelayanan Publik,(Desa 3) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Menutup layanan lebih awal,Mengurangi waktu konsultasi per orang tanpa standar,Nomor antrian terjadwal dan ringkasan informasi,Melayani yang paling vokal terlebih dahulu,C
260,Kompetensi Sosial Kultural,Komunikasi Publik,(Desa 4) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Membagikan dokumen tanpa penjelasan,Menunjuk pihak lain menyampaikan,Menggunakan istilah teknis lengkap,A
261,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan A) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menghindari interaksi langsung,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Mengandalkan pihak lain yang paham budaya lokal,Menerapkan prosedur tanpa penyesuaian,B
262,Kompetensi Sosial Kultural,Pelayanan Publik,(Kelurahan B) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Melayani yang paling vokal terlebih dahulu,Menutup layanan lebih awal,Mengurangi waktu konsultasi per orang tanpa standar,Nomor antrian terjadwal dan ringkasan informasi,D
263,Kompetensi Sosial Kultural,Toleransi,(Kelurahan C) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mengabaikan pandangan minoritas,Mendukung pihak yang sepaham,Menutup forum agar tak memicu konflik,Memfasilitasi dialog yang adil dan menghargai perbedaan,D
264,Kompetensi Sosial Kultural,Empati,(Kecamatan X) Warga menyampaikan keluhan keras terkait keterlambatan layanan pengawasan pekerjaan. Sikap Anda yang paling tepat adalah ....,Meminta warga membuat surat resmi terlebih dahulu,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,C
265,Kompetensi Sosial Kultural,Komunikasi Publik,(Kecamatan Y) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menunjuk pihak lain menyampaikan,Menggunakan istilah teknis lengkap,Membagikan dokumen tanpa penjelasan,A
266,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kecamatan Z) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menghindari interaksi langsung,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,B
267,Kompetensi Sosial Kultural,Empati,(Desa 1) Warga menyampaikan keluhan keras terkait keterlambatan layanan site plan perumahan. Sikap Anda yang paling tepat adalah ....,Meminta warga membuat surat resmi terlebih dahulu,Meminta warga tenang sebelum mendengar,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",D
268,Kompetensi Sosial Kultural,Pelayanan Publik,(Desa 2) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Nomor antrian terjadwal dan ringkasan informasi,Mengurangi waktu konsultasi per orang tanpa standar,Melayani yang paling vokal terlebih dahulu,Menutup layanan lebih awal,A
269,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 3) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menghindari interaksi langsung,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,D
270,Kompetensi Sosial Kultural,Empati,(Desa 4) Warga menyampaikan keluhan keras terkait keterlambatan layanan uji material. Sikap Anda yang paling tepat adalah ....,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,A
271,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan A) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menghindari interaksi langsung,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,A
272,Kompetensi Sosial Kultural,Komunikasi Publik,(Kelurahan B) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Menunjuk pihak lain menyampaikan,Membagikan dokumen tanpa penjelasan,Menggunakan istilah teknis lengkap,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",D
273,Kompetensi Sosial Kultural,Toleransi,(Kelurahan C) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mengabaikan pandangan minoritas,Menutup forum agar tak memicu konflik,Memfasilitasi dialog yang adil dan menghargai perbedaan,Mendukung pihak yang sepaham,C
274,Kompetensi Sosial Kultural,Pelayanan Publik,(Kecamatan X) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Mengurangi waktu konsultasi per orang tanpa standar,Nomor antrian terjadwal dan ringkasan informasi,Menutup layanan lebih awal,Melayani yang paling vokal terlebih dahulu,B
275,Kompetensi Sosial Kultural,Toleransi,(Kecamatan Y) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mendukung pihak yang sepaham,Menutup forum agar tak memicu konflik,Mengabaikan pandangan minoritas,Memfasilitasi dialog yang adil dan menghargai perbedaan,D
276,Kompetensi Sosial Kultural,Toleransi,(Kecamatan Z) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mendukung pihak yang sepaham,Memfasilitasi dialog yang adil dan menghargai perbedaan,Menutup forum agar tak memicu konflik,Mengabaikan pandangan minoritas,B
277,Kompetensi Sosial Kultural,Komunikasi Publik,(Desa 1) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Membagikan dokumen tanpa penjelasan,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menunjuk pihak lain menyampaikan,Menggunakan istilah teknis lengkap,B
278,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 2) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,Menghindari interaksi langsung,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,D
279,Kompetensi Sosial Kultural,Komunikasi Publik,(Desa 3) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Membagikan dokumen tanpa penjelasan,Menggunakan istilah teknis lengkap,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menunjuk pihak lain menyampaikan,C
280,Kompetensi Sosial Kultural,Empati,(Desa 4) Warga menyampaikan keluhan keras terkait keterlambatan layanan uji material. Sikap Anda yang paling tepat adalah ....,Meminta warga tenang sebelum mendengar,Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",D
281,Literasi Digital,Pemanfaatan TIK,(Kelurahan A) Unit memanfaatkan aplikasi mobile untuk pelaporan progres. Langkah awal paling tepat adalah ....,Membeli perangkat baru untuk semua pegawai,Menunggu kebijakan nasional,"Pelatihan singkat, uji coba, lalu perbaikan berbasis umpan balik",Wajibkan penggunaan tanpa pelatihan,C
282,Literasi Digital,Etika Digital,(Kelurahan B) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,D
283,Literasi Digital,Manajemen Informasi,(Kelurahan C) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Hapus data lama yang tidak populer,Repositori terpusat dengan kontrol versi dan standar penamaan,Gabungkan semua data dalam satu file besar,Simpan di perangkat masing-masing,B
284,Literasi Digital,Keamanan Data,(Kecamatan X) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,"Anonimisasi, pembatasan akses, dan pencatatan izin",Mengirim via pesan instan pribadi,Unggah ke media sosial unit,Membagikan seluruh data agar transparan,A
285,Literasi Digital,Keamanan Data,(Kecamatan Y) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Membagikan seluruh data agar transparan,Mengirim via pesan instan pribadi,Unggah ke media sosial unit,"Anonimisasi, pembatasan akses, dan pencatatan izin",D
286,Literasi Digital,Keamanan Data,(Kecamatan Z) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Mengirim via pesan instan pribadi,Unggah ke media sosial unit,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",D
287,Literasi Digital,Manajemen Informasi,(Desa 1) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Repositori terpusat dengan kontrol versi dan standar penamaan,Simpan di perangkat masing-masing,Hapus data lama yang tidak populer,B
288,Literasi Digital,Manajemen Informasi,(Desa 2) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Simpan di perangkat masing-masing,Repositori terpusat dengan kontrol versi dan standar penamaan,Hapus data lama yang tidak populer,C
289,Literasi Digital,Pemanfaatan TIK,(Desa 3) Unit memanfaatkan aplikasi mobile untuk pelaporan progres. Langkah awal paling tepat adalah ....,Membeli perangkat baru untuk semua pegawai,"Pelatihan singkat, uji coba, lalu perbaikan berbasis umpan balik",Wajibkan penggunaan tanpa pelatihan,Menunggu kebijakan nasional,B
290,Literasi Digital,Manajemen Informasi,(Desa 4) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Simpan di perangkat masing-masing,Hapus data lama yang tidak populer,Gabungkan semua data dalam satu file besar,Repositori terpusat dengan kontrol versi dan standar penamaan,D
291,Literasi Digital,Etika Digital,(Kelurahan A) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,D
292,Literasi Digital,Keamanan Data,(Kelurahan B) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",Unggah ke media sosial unit,Mengirim via pesan instan pribadi,B
293,Literasi Digital,Inovasi Digital,(Kelurahan C) Anda mengusulkan dashboard GIS untuk memantau progres sinkronisasi GIS. Langkah pengembangan tepat adalah ....,Tiru dashboard instansi lain,Kumpulkan semua fitur sekaligus,Tunda sampai ada vendor,"Bangun MVP, uji pengguna, dan iterasi",D
294,Literasi Digital,Manajemen Informasi,(Kecamatan X) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Repositori terpusat dengan kontrol versi dan standar penamaan,Hapus data lama yang tidak populer,Simpan di perangkat masing-masing,B
295,Literasi Digital,Inovasi Digital,(Kecamatan Y) Anda mengusulkan dashboard GIS untuk memantau progres uji material. Langkah pengembangan tepat adalah ....,Tunda sampai ada vendor,Tiru dashboard instansi lain,"Bangun MVP, uji pengguna, dan iterasi",Kumpulkan semua fitur sekaligus,C
296,Literasi Digital,Pemanfaatan TIK,(Kecamatan Z) Unit memanfaatkan aplikasi mobile untuk pelaporan progres. Langkah awal paling tepat adalah ....,Wajibkan penggunaan tanpa pelatihan,Menunggu kebijakan nasional,"Pelatihan singkat, uji coba, lalu perbaikan berbasis umpan balik",Membeli perangkat baru untuk semua pegawai,C
297,Literasi Digital,Manajemen Informasi,(Desa 1) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Simpan di perangkat masing-masing,Hapus data lama yang tidak populer,Gabungkan semua data dalam satu file besar,Repositori terpusat dengan kontrol versi dan standar penamaan,D
298,Literasi Digital,Etika Digital,(Desa 2) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Simpan di perangkat pribadi untuk arsip,Menyebarluaskan agar rekan lain mengetahui,Unggah ke grup komunitas umum,A
299,Literasi Digital,Manajemen Informasi,(Desa 3) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Hapus data lama yang tidak populer,Repositori terpusat dengan kontrol versi dan standar penamaan,Simpan di perangkat masing-masing,C
300,Literasi Digital,Pemanfaatan TIK,(Desa 4) Unit memanfaatkan aplikasi mobile untuk pelaporan progres. Langkah awal paling tepat adalah ....,"Pelatihan singkat, uji coba, lalu perbaikan berbasis umpan balik",Wajibkan penggunaan tanpa pelatihan,Menunggu kebijakan nasional,Membeli perangkat baru untuk semua pegawai,A
301,Literasi Digital,Etika Digital,(Kelurahan A) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,D
302,Literasi Digital,Manajemen Informasi,(Kelurahan B) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Simpan di perangkat masing-masing,Hapus data lama yang tidak populer,Repositori terpusat dengan kontrol versi dan standar penamaan,Gabungkan semua data dalam satu file besar,C
303,Literasi Digital,Etika Digital,(Kelurahan C) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Menyebarluaskan agar rekan lain mengetahui,Unggah ke grup komunitas umum,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,D
304,Literasi Digital,Manajemen Informasi,(Kecamatan X) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Repositori terpusat dengan kontrol versi dan standar penamaan,Hapus data lama yang tidak populer,Gabungkan semua data dalam satu file besar,Simpan di perangkat masing-masing,A
305,Literasi Digital,Etika Digital,(Kecamatan Y) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Simpan di perangkat pribadi untuk arsip,C
306,Literasi Digital,Manajemen Informasi,(Kecamatan Z) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Repositori terpusat dengan kontrol versi dan standar penamaan,Simpan di perangkat masing-masing,Gabungkan semua data dalam satu file besar,Hapus data lama yang tidak populer,A
307,Literasi Digital,Inovasi Digital,(Desa 1) Anda mengusulkan dashboard GIS untuk memantau progres site plan perumahan. Langkah pengembangan tepat adalah ....,"Bangun MVP, uji pengguna, dan iterasi",Kumpulkan semua fitur sekaligus,Tunda sampai ada vendor,Tiru dashboard instansi lain,A
308,Literasi Digital,Keamanan Data,(Desa 2) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",Unggah ke media sosial unit,Mengirim via pesan instan pribadi,B
309,Literasi Digital,Keamanan Data,(Desa 3) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Unggah ke media sosial unit,Mengirim via pesan instan pribadi,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",D
310,Literasi Digital,Keamanan Data,(Desa 4) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,"Anonimisasi, pembatasan akses, dan pencatatan izin",Mengirim via pesan instan pribadi,Membagikan seluruh data agar transparan,Unggah ke media sosial unit,A
311,Literasi Digital,Keamanan Data,(Kelurahan A) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Membagikan seluruh data agar transparan,Unggah ke media sosial unit,"Anonimisasi, pembatasan akses, dan pencatatan izin",Mengirim via pesan instan pribadi,C
312,Literasi Digital,Etika Digital,(Kelurahan B) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Unggah ke grup komunitas umum,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Simpan di perangkat pribadi untuk arsip,Menyebarluaskan agar rekan lain mengetahui,B
313,Literasi Digital,Manajemen Informasi,(Kelurahan C) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Simpan di perangkat masing-masing,Repositori terpusat dengan kontrol versi dan standar penamaan,Hapus data lama yang tidak populer,Gabungkan semua data dalam satu file besar,B
314,Literasi Digital,Keamanan Data,(Kecamatan X) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Unggah ke media sosial unit,Mengirim via pesan instan pribadi,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",D
315,Literasi Digital,Etika Digital,(Kecamatan Y) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Menyebarluaskan agar rekan lain mengetahui,C
316,Literasi Digital,Keamanan Data,(Kecamatan Z) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,Unggah ke media sosial unit,Mengirim via pesan instan pribadi,Membagikan seluruh data agar transparan,"Anonimisasi, pembatasan akses, dan pencatatan izin",D
317,Literasi Digital,Etika Digital,(Desa 1) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,D
318,Literasi Digital,Keamanan Data,(Desa 2) Anda akan membagikan data survei RTLH kepada pihak eksternal. Langkah yang sesuai dengan perlindungan data pribadi adalah ....,"Anonimisasi, pembatasan akses, dan pencatatan izin",Membagikan seluruh data agar transparan,Mengirim via pesan instan pribadi,Unggah ke media sosial unit,A
319,Literasi Digital,Manajemen Informasi,(Desa 3) Data teknis tersebar di berbagai file. Cara terbaik mengelola informasi agar mudah diakses dan akurat adalah ....,Gabungkan semua data dalam satu file besar,Repositori terpusat dengan kontrol versi dan standar penamaan,Simpan di perangkat masing-masing,Hapus data lama yang tidak populer,B
320,Literasi Digital,Etika Digital,(Desa 4) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Menyebarluaskan agar rekan lain mengetahui,Simpan di perangkat pribadi untuk arsip,Unggah ke grup komunitas umum,A
321,Literasi Digital,Inovasi Digital,(Kelurahan A) Anda mengusulkan dashboard GIS untuk memantau progres verifikasi SIMBG. Langkah pengembangan tepat adalah ....,Kumpulkan semua fitur sekaligus,"Bangun MVP, uji pengguna, dan iterasi",Tiru dashboard instansi lain,Tunda sampai ada vendor,B
322,Literasi Digital,Etika Digital,(Kelurahan B) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Simpan di perangkat pribadi untuk arsip,Menyebarluaskan agar rekan lain mengetahui,Unggah ke grup komunitas umum,A
323,Literasi Digital,Etika Digital,(Kelurahan C) Anda menerima foto kondisi rumah warga di grup dinas. Tindakan paling etis adalah ....,Gunakan seperlunya sesuai tugas dan hapus bila tidak relevan,Unggah ke grup komunitas umum,Menyebarluaskan agar rekan lain mengetahui,Simpan di perangkat pribadi untuk arsip,A
